		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111010110  217  232  249  235  219  246  257  254  7.998305 0.433636 SUCCESS 128
111011000  249  245  266  243  244  217  276  258 10.374018 0.239750 SUCCESS 129
111011010  255  245  262  228  249  210  226  239  9.497027 0.302115 SUCCESS 130
111011100  236  251  252  267  246  256  239  232  4.306046 0.828509 SUCCESS 131
111100000  221  230  259  238  266  234  233  228  8.294872 0.405209 SUCCESS 132
111100010  219  237  253  230  278  280  253  270 17.553056 0.024839 SUCCESS 133
111100100  244  236  250  247  242  266  219  194 15.826613 0.044930 SUCCESS 134
111100110  265  247  239  251  217  261  224  221 10.497940 0.231800 SUCCESS 135
111101000  244  225  234  228  234  251  255  251  4.421495 0.817235 SUCCESS 136
111101010  256  225  256  227  233  230  256  251  6.154294 0.629953 SUCCESS 137
111101100  270  227  232  240  258  226  271  222 12.115289 0.146134 SUCCESS 138
111101110  234  259  245  274  253  240  238  248  5.784644 0.671340 SUCCESS 139
111110000  239  233  247  269  245  224  247  237  5.261415 0.729305 SUCCESS 140
111110010  233  257  249  256  261  248  227  237  4.652394 0.794000 SUCCESS 141
111110100  240  236  219  231  237  263  227  229  7.692205 0.464099 SUCCESS 142
111110110  252  233  247  235  242  235  253  235  2.233255 0.973013 SUCCESS 143
111111000  211  246  232  242  253  263  257  226  9.242827 0.322227 SUCCESS 144
111111010  235  218  231  228  230  231  223  260  9.609299 0.293525 SUCCESS 145
111111100  225  246  205  248  280  255  256  227 15.907110 0.043729 SUCCESS 146
111111110  223  265  221  250  265  232  228  230 10.564668 0.227606 SUCCESS 147

